Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End
3,Bagmati,DCS Office,Pulchwk DCS,Karar,73002501,73002600
3,Bagmati,DCS Office,Pulchwk DCS,Myadi,63002501,63002600
3,Bagmati,DCS Office,Pulchwk DCS,Jyaladari,53005001,53005200
3,Bagmati,DCS Office,Ratnapark DCS,Karar,73002601,73002700
3,Bagmati,DCS Office,Ratnapark DCS,Myadi,63002601,63002700
3,Bagmati,DCS Office,Ratnapark DCS,Jyaladari,53005201,53005400
3,Bagmati,DCS Office,Naxal SDC,Karar,73002701,73002800
3,Bagmati,DCS Office,Naxal SDC,Myadi,63002701,63002800
3,Bagmati,DCS Office,Naxal SDC,Jyaladari,53005401,53005600
3,Bagmati,DCS Office,Kuleshor DCS,Karar,73002801,73002900
3,Bagmati,DCS Office,Kuleshor DCS,Myadi,63002801,63002900
3,Bagmati,DCS Office,Kuleshor DCS,Jyaladari,53005601,53005800
3,Bagmati,DCS Office,Kirtipur DCs,Karar,73002901,73003000
3,Bagmati,DCS Office,Kirtipur DCs,Myadi,63002901,63003000
3,Bagmati,DCS Office,Kirtipur DCs,Jyaladari,53005801,53006000
3,Bagmati,DCS Office,Balaju DCS,Karar,73003001,73003100
3,Bagmati,DCS Office,Balaju DCS,Myadi,63003001,63003100
3,Bagmati,DCS Office,Balaju DCS,Jyaladari,53006001,53006200
3,Bagmati,DCS Office,Maharajgunj DCS,Karar,73003101,73003200
3,Bagmati,DCS Office,Maharajgunj DCS,Myadi,63003101,63003200
3,Bagmati,DCS Office,Maharajgunj DCS,Jyaladari,53006201,53006400
3,Bagmati,DCS Office,Budhnilkanth SDC,Karar,73003201,73003300
3,Bagmati,DCS Office,Budhnilkanth SDC,Myadi,63003201,63003300
3,Bagmati,DCS Office,Budhnilkanth SDC,Jyaladari,53006401,53006600
3,Bagmati,DCS Office,Jorpati DCS,Karar,73003301,73003400
3,Bagmati,DCS Office,Jorpati DCS,Myadi,63003301,63003400
3,Bagmati,DCS Office,Jorpati DCS,Jyaladari,53006601,53006800
3,Bagmati,DCS Office,Sakhu SDC,Karar,73003401,73003500
3,Bagmati,DCS Office,Sakhu SDC,Myadi,63003401,63003500
3,Bagmati,DCS Office,Sakhu SDC,Jyaladari,53006801,53007000
