Butwal RO
Parasi DCS
Bardaghat DCS
Triveni SDC
Surajoura SDC
Bhairahawa DCS
Amuwa DCS
Lumbini SDC
Nayamill DCS
Butwal DCS
Taulihawa DCS
Krishna nagar DCS
Palpa DCS
Arghakhachi DCS
Gulmi DCS
Ridi SDC
Rukum EAST DCS
Rolpa DCS
Pyuthan DCS
Ghorahi DCS
Lamahi DCS
Tulsipur DCS
Kohalpur DCS
Nepalgunj DCS
Gulariya DCS
Rajapur DCS
Basghadi SDC
Bhurigaun SDC
