Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End
1,Koshi,DCS Office,Biratnagar RO,Karar,71000001,71000100
1,Koshi,DCS Office,Biratnagar RO,Myadi,61000001,61000100
1,Koshi,DCS Office,Biratnagar RO,Jyaladari,51000001,51000200
1,Koshi,DCS Office,Taplegunj DCS,Karar,71000101,71000200
1,Koshi,DCS Office,Taplegunj DCS,Myadi,61000101,61000200
1,Koshi,DCS Office,Taplegunj DCS,Jyaladari,51000201,51000400
1,Koshi,DCS Office,Panchthar DCS,Karar,71000201,71000300
1,Koshi,DCS Office,Panchthar DCS,Myadi,61000201,61000300
1,Koshi,DCS Office,Panchthar DCS,Jyaladari,51000401,51000600
1,Koshi,DCS Office,Ilam DCS,Karar,71000301,71000400
1,Koshi,DCS Office,Ilam DCS,Myadi,61000301,61000400
1,Koshi,DCS Office,Ilam DCS,Jyaladari,51000601,51000800
1,Koshi,DCS Office,Fickel SDC,Karar,71000401,71000500
1,Koshi,DCS Office,Fickel SDC,Myadi,61000401,61000500
1,Koshi,DCS Office,Fickel SDC,Jyaladari,51000801,51001000
1,Koshi,DCS Office,Pashupatinagar SDC,Karar,71000501,71000600
1,Koshi,DCS Office,Pashupatinagar SDC,Myadi,61000501,61000600
1,Koshi,DCS Office,Pashupatinagar SDC,Jyaladari,51001001,51001200
1,Koshi,DCS Office,Khadbari DCS,Karar,71000601,71000700
1,Koshi,DCS Office,Khadbari DCS,Myadi,61000601,61000700
1,Koshi,DCS Office,Khadbari DCS,Jyaladari,51001201,51001400
1,Koshi,DCS Office,Chainour SDC,Karar,71000701,71000800
1,Koshi,DCS Office,Chainour SDC,Myadi,61000701,61000800
1,Koshi,DCS Office,Chainour SDC,Jyaladari,51001401,51001600
1,Koshi,DCS Office,Tumlingtar SDC,Karar,71000801,71000900
1,Koshi,DCS Office,Tumlingtar SDC,Myadi,61000801,61000900
1,Koshi,DCS Office,Tumlingtar SDC,Jyaladari,51001601,51001800
1,Koshi,DCS Office,Mudhe SDC,Karar,71000901,71001000
1,Koshi,DCS Office,Mudhe SDC,Myadi,61000901,61001000
1,Koshi,DCS Office,Mudhe SDC,Jyaladari,51001801,51002000
1,Koshi,DCS Office,Terhathum DCS,Karar,71001001,71001100
1,Koshi,DCS Office,Terhathum DCS,Myadi,61001001,61001100
1,Koshi,DCS Office,Terhathum DCS,Jyaladari,51002001,51002200
1,Koshi,DCS Office,Dhankuta DCS,Karar,71001101,71001200
1,Koshi,DCS Office,Dhankuta DCS,Myadi,61001101,61001200
1,Koshi,DCS Office,Dhankuta DCS,Jyaladari,51002201,51002400
1,Koshi,DCS Office,Bhojpur DCS,Karar,71001201,71001300
1,Koshi,DCS Office,Bhojpur DCS,Myadi,61001201,61001300
1,Koshi,DCS Office,Bhojpur DCS,Jyaladari,51002401,51002600
1,Koshi,DCS Office,Diktel DCS,Karar,71001301,71001400
1,Koshi,DCS Office,Diktel DCS,Myadi,61001301,61001400
1,Koshi,DCS Office,Diktel DCS,Jyaladari,51002601,51002800
1,Koshi,DCS Office,Solukhumbu DCS,Karar,71001401,71001500
1,Koshi,DCS Office,Solukhumbu DCS,Myadi,61001401,61001500
1,Koshi,DCS Office,Solukhumbu DCS,Jyaladari,51002801,51003000
1,Koshi,DCS Office,Okhaldhunga DCS,Karar,71001501,71001600
1,Koshi,DCS Office,Okhaldhunga DCS,Myadi,61001501,61001600
